timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
00:02:15,194.9389,1012.84549,491.89021,307.72464,200.5843,6,-0.01154,0.62017,0.00383
00:02:16,198.0371,985.43635,475.34606,302.86365,203.52947,6,0.00271,0.61827,0.00157
00:02:16,204.85704,928.89842,445.9571,283.5112,194.67062,6,0.00137,0.61015,-0.00812
00:02:16,208.47841,942.67338,441.39337,282.23414,198.30391,6,-0.01456,0.60966,-0.00869
00:02:16,196.91755,1004.80711,449.99226,293.20131,202.00048,6,-0.0164,0.61865,0.00202
00:02:16,199.76122,1009.40671,444.64039,284.04328,199.03912,6,-0.00522,0.61584,-0.00133
00:02:16,214.11628,1002.83134,433.93424,282.47178,204.10737,6,-0.00388,0.61069,-0.00747
00:02:16,205.20792,1023.34774,438.59603,275.89371,201.52308,6,-0.0163,0.61329,-0.00437
00:02:16,202.23208,1043.81564,445.99805,279.92017,208.2863,6,-0.00956,0.61658,-0.00045
00:02:16,211.11135,1065.14792,459.20835,273.78611,204.72845,6,-0.01767,0.61148,-0.00653
00:02:16,207.48621,1085.13429,485.32745,283.15214,205.78511,6,-0.01585,0.61426,-0.00321
00:02:16,245.85255,1038.89147,443.75088,267.29531,204.57304,6,0.01414,0.5574,-0.01232
00:02:16,255.15153,1038.32844,444.53198,260.79257,196.36357,6,-0.01681,0.5574,-0.01232
00:02:16,228.53703,1084.52813,509.98168,269.57667,201.59199,6,-0.03,0.6065,0.00496
00:02:16,228.9915,1086.27573,534.29057,268.38079,196.377,6,-0.00305,0.63396,0.00667
00:02:16,253.64107,1043.96982,488.03497,253.51383,187.6556,6,0.01085,0.56051,-0.00962
00:02:16,254.40399,1044.43495,503.08143,251.25218,191.32967,6,-0.01711,0.59433,0.00157
00:02:16,261.27014,1036.69563,504.85439,245.3861,184.97884,6,0.00138,0.60285,0.00395
00:02:16,273.83973,1011.51514,486.02943,236.67282,178.53144,6,-0.0069,0.5587,-0.01118
00:02:16,273.87843,1004.93534,503.4716,234.18465,173.79496,6,-0.00196,0.60842,0.0055
00:02:17,289.05678,979.00809,474.30494,223.75473,166.87361,6,0.00111,0.5574,-0.01232
00:02:17,290.0221,971.91715,484.47951,220.74728,162.67561,6,-0.00377,0.58824,-0.00012
00:02:17,301.30744,949.6958,470.31894,210.86105,154.55847,6,-0.00004,0.5574,-0.01232
00:02:17,300.91401,943.31404,485.33109,208.18407,150.45857,6,-0.00284,0.60273,0.00391
00:02:17,312.42736,917.34187,459.72808,199.4774,144.68373,6,0.00279,0.5574,-0.01232
00:02:17,308.17098,912.38911,489.07029,198.42288,141.03532,6,-0.00691,0.61667,0.00734
00:02:17,321.12958,884.64703,454.75939,188.65101,134.96479,6,0.00418,0.5574,-0.01232
00:02:17,323.3773,868.92828,456.68526,184.73157,131.19103,6,-0.00046,0.56036,-0.00975
00:02:17,324.58959,862.3539,465.62433,180.47985,126.6518,6,-0.002,0.59783,0.00255
00:02:17,330.51133,836.203,450.49159,174.5746,122.32612,6,-0.00299,0.56432,-0.0063
00:02:17,321.74939,833.29175,470.58026,176.05229,120.0301,6,-0.01233,0.61606,0.00737
00:02:17,330.02046,814.04201,442.68004,168.47575,115.24557,6,0.00547,0.5749,0.00276
00:02:17,331.6337,797.72194,447.64262,164.37316,111.40962,6,-0.01353,0.59265,0.0011
00:02:17,327.04884,784.75967,442.71798,164.48521,109.39019,6,-0.00487,0.59155,0.0008
00:02:17,330.04573,767.01851,436.20687,160.26215,106.19627,6,-0.00002,0.58336,0.00044
00:02:17,329.61774,751.06729,424.565,157.98693,103.52012,6,-0.00524,0.5574,-0.01232
00:02:17,322.12285,756.36933,428.57821,160.4601,102.07267,6,-0.00775,0.58766,-0.00029
00:02:17,321.5324,739.91392,434.07635,159.29229,100.35754,6,0.00017,0.59628,0.00212
00:02:18,322.86492,714.69566,416.72844,156.67056,98.2667,6,-0.00835,0.5574,-0.01232
