timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.09042,0.12495,0.18655,0.30926,0.06499,0.34589,0.21504,-2.10627,0.4913
none,0.09107,0.12755,0.18645,0.31126,0.06456,0.36153,0.21836,-2.07469,0.5030
none,0.09177,0.1269,0.18637,0.31338,0.06413,0.37747,0.22183,-2.04565,0.5138
none,0.09121,0.12994,0.1868,0.31648,0.0633,0.39361,0.22537,-2.00552,0.5188
none,0.09196,0.12931,0.18677,0.31887,0.06288,0.4103,0.22855,-1.97364,0.5294
none,0.09257,0.12869,0.18675,0.3214,0.06206,0.42724,0.23184,-1.93994,0.5375
none,0.0912,0.12766,0.18625,0.32319,0.06164,0.44449,0.23505,-1.90993,0.5420
none,0.09351,0.13035,0.18628,0.326,0.06082,0.46189,0.23792,-1.87066,0.5585
none,0.09256,0.12975,0.18634,0.32898,0.06321,0.47977,0.24138,-1.8369,0.5855
none,0.0942,0.12916,0.18642,0.33216,0.06241,0.4979,0.24604,-1.79633,0.6144
none,0.09352,0.12818,0.18602,0.33465,0.0616,0.5165,0.2518,-1.75933,0.6355
none,0.09314,0.13093,0.18619,0.33832,0.0608,0.53544,0.25788,-1.71853,0.6586
none,0.09448,0.12996,0.18586,0.34131,0.06,0.55482,0.26437,-1.69046,0.6914
none,0.09354,0.12943,0.18612,0.34559,0.05921,0.57418,0.27187,-1.65399,0.7144
none,0.09545,0.1285,0.18589,0.34923,0.06071,0.59382,0.27948,-1.61585,0.7681
none,0.09493,0.12758,0.18572,0.35329,0.06044,0.61378,0.28934,-1.56789,0.8066
none,0.09642,0.13045,0.18616,0.35887,0.05926,0.63437,0.29992,-1.50871,0.8521
none,0.0951,0.12958,0.18613,0.36397,0.05848,0.65595,0.31158,-1.45231,0.8890
none,0.09378,0.12873,0.18619,0.36968,0.05731,0.67838,0.3235,-1.39612,0.9299
none,0.09569,0.1313,0.18633,0.37609,0.05615,0.70159,0.33591,-1.3417,0.9950
none,0.0976,0.13051,0.18657,0.38333,0.06141,0.7255,0.3504,-1.29557,1.0999
none,0.09591,0.12933,0.18638,0.39048,0.06027,0.74978,0.36936,-1.23006,1.1584
none,0.09783,0.13205,0.1869,0.40005,0.05873,0.77509,0.38863,-1.15573,1.2300
none,0.09655,0.1314,0.18757,0.41111,0.05761,0.80166,0.40907,-1.05261,1.2926
