timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.07659,0.13498,0.22645,0.31304,0.07798,1,0.05755,0.66125,0.0004
none,0.07671,0.13552,0.22406,0.31063,0.07787,1,0.05789,0.66125,0.0004
none,0.07736,0.13703,0.22167,0.30822,0.07725,1,0.05815,0.66125,0.0004
none,0.07748,0.13431,0.21928,0.30581,0.07714,1,0.05837,0.66125,0.0004
none,0.0776,0.13159,0.22009,0.30339,0.07704,1,0.05854,0.66125,0.0004
none,0.07772,0.13063,0.2177,0.30097,0.07693,1,0.05867,0.66125,0.0004
none,0.07785,0.13117,0.21531,0.29855,0.07682,1,0.05878,0.66125,0.0004
none,0.07851,0.13274,0.21292,0.29613,0.07621,1,0.05887,0.66125,0.0004
none,0.07863,0.1312,0.21053,0.2937,0.0761,1,0.05894,0.66125,0.0004
none,0.07876,0.12849,0.20815,0.29127,0.076,1,0.059,0.66125,0.0004
none,0.07888,0.12614,0.20576,0.28883,0.07589,1,0.05904,0.66125,0.0004
none,0.07901,0.12668,0.20337,0.2864,0.07579,1,0.05908,0.66125,0.0004
none,0.07968,0.12826,0.20459,0.28441,0.07518,1,0.05911,0.66125,0.0004
none,0.07981,0.12855,0.2022,0.28196,0.07508,1,0.05913,0.66125,0.0004
none,0.07994,0.12586,0.19981,0.27951,0.07498,1,0.05915,0.66125,0.0004
none,0.08062,0.12317,0.19743,0.27706,0.07437,1,0.05916,0.66125,0.0004
none,0.08075,0.12307,0.19504,0.27461,0.07427,1,0.05917,0.66125,0.0004
none,0.08088,0.12361,0.19266,0.27215,0.07417,1,0.05918,0.66125,0.0004
none,0.08102,0.12415,0.19027,0.26969,0.07808,1,0.05919,0.66125,0.0004
none,0.0817,0.12282,0.18788,0.26722,0.07747,1,0.0592,0.66125,0.0004
none,0.08184,0.12015,0.1855,0.26475,0.07737,1,0.0592,0.66125,0.0004
none,0.08197,0.11823,0.18311,0.26228,0.07727,1,0.0592,0.66125,0.0004
none,0.08266,0.11985,0.18394,0.2598,0.07667,1,0.05921,0.66125,0.0004
none,0.0828,0.11904,0.18155,0.25732,0.07657,1,0.05921,0.66125,0.0004
none,0.08285,0.11638,0.17917,0.25483,0.07597,1,0.05921,0.66125,0.0004
none,0.07922,0.11376,0.17678,0.25234,0.07587,1,0.05921,0.66125,0.0004
none,0.07934,0.11428,0.1744,0.24985,0.07974,1,0.05922,0.66125,0.0004
none,0.08003,0.11528,0.17201,0.24735,0.07914,1,0.05922,0.66125,0.0004
none,0.08017,0.11263,0.16963,0.24485,0.08299,1,0.05922,0.66125,0.0004
none,0.08087,0.10999,0.16724,0.24234,0.08239,1,0.05922,0.66125,0.0004
none,0.08101,0.10964,0.16486,0.23983,0.08622,1,0.05922,0.66125,0.0004
none,0.08064,0.1113,0.16568,0.23732,0.08562,1,0.05922,0.66125,0.0004
none,0.07736,0.10891,0.1633,0.2348,0.09338,1,0.05922,0.66125,0.0004
none,0.07806,0.10628,0.16091,0.23227,0.09277,1,0.05922,0.66125,0.0004
none,0.0782,0.10483,0.15853,0.22975,0.1005,1,0.05922,0.66125,0.0004
none,0.0789,0.10649,0.15614,0.22721,0.34197,1,0.05922,0.66125,0.0004
none,0.07652,0.10522,0.15376,0.22468,0.33866,1,0.05922,0.66125,0.0004
none,0.07522,0.10259,0.15137,0.22214,0.33534,1,0.05922,0.66125,0.0004
none,0.07535,0.09998,0.14899,0.21959,0.332,1,0.05922,0.66125,0.0004
none,0.07606,0.10076,0.1466,0.21704,0.32864,1,0.05922,0.66125,0.0004
none,0.07598,0.09815,0.14421,0.21078,0.32527,1,0.05922,0.66125,0.0004
none,0.07248,0.09554,0.14183,0.20822,0.32188,1,0.05922,0.66125,0.0004
none,0.07247,0.09465,0.13944,0.20565,0.31847,1,0.05922,0.66125,0.0004
none,0.07318,0.09633,0.13705,0.20308,0.31505,1,0.05922,0.66125,0.0004
none,0.07331,0.09451,0.13467,0.2005,0.31161,1,0.05922,0.66125,0.0004
none,0.07197,0.09191,0.13228,0.19792,0.30816,1,0.05922,0.66125,0.0004
none,0.07013,0.09048,0.12989,0.19533,0.30468,1,0.05922,0.66125,0.0004
none,0.07026,0.09011,0.1275,0.19274,0.30119,1,0.05922,0.66125,0.0004
none,0.07049,0.08751,0.12511,0.19014,0.29769,1,0.05922,0.66125,0.0004
none,0.06705,0.08493,0.12272,0.18754,0.29416,1,0.05922,0.66125,0.0004
none,0.06717,0.08489,0.12033,0.18493,0.29062,1,0.05922,0.66125,0.0004
none,0.06788,0.08314,0.11794,0.18232,0.28706,1,0.05922,0.66125,0.0004
none,0.06561,0.08056,0.11555,0.17971,0.28348,1,0.05922,0.66125,0.0004
none,0.06406,0.07864,0.11315,0.17708,0.27988,1,0.05922,0.66125,0.0004
none,0.06476,0.08033,0.11076,0.17446,0.27626,1,0.05922,0.66125,0.0004
none,0.06418,0.07957,0.11159,0.17182,0.27263,1,0.05922,0.66125,0.0004
