timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
2025-05-2900:00:17,203.30486,292.38475,464.33034,665.26804,197.03883,1.7392,0.00813,0.12598,0.00216
2025-05-2900:00:17,198.40086,300.69275,468.90332,669.95821,192.7714,1.84098,0.00837,0.13387,0.00217
2025-05-2900:00:17,205.86645,308.86814,480.95482,674.30097,188.68257,1.95196,0.00858,0.14345,0.00224
2025-05-2900:00:17,214.11572,317.07769,485.33703,679.58579,184.76596,2.06792,0.00881,0.15168,0.00231
2025-05-2900:00:18,210.04423,317.16584,490.17641,685.91771,181.02165,2.19041,0.00903,0.16082,0.00232
2025-05-2900:00:18,221.44007,324.57007,494.47015,692.04855,176.35206,2.32489,0.00922,0.17066,0.00239
2025-05-2900:00:18,219.83342,325.21978,499.28827,699.37104,171.88755,2.46872,0.00941,0.18182,0.00244
2025-05-2900:00:18,228.51681,339.80989,504.69548,708.08976,167.61771,2.62253,0.00971,0.19478,0.00259
2025-05-2900:00:18,235.32381,338.65075,509.76761,717.28252,162.44633,2.78862,0.01011,0.20902,0.00277
2025-05-2900:00:18,238.31719,345.78117,515.7336,728.92711,157.44601,2.9743,0.01073,0.22674,0.00299
2025-05-2900:00:18,245.17332,352.19766,521.76407,742.41708,151.56046,3.18091,0.01151,0.24447,0.00326
2025-05-2900:00:18,254.53524,359.00153,529.24008,760.28319,145.86055,3.4073,0.01246,0.2643,0.00359
2025-05-2900:00:18,257.71835,366.33257,529.58872,784.15906,139.33357,3.6571,0.01364,0.28374,0.00397
2025-05-2900:00:18,268.26422,373.39062,540.1086,814.8453,133.04286,3.9236,0.01507,0.30414,0.00448
2025-05-2900:00:18,269.12671,380.46149,543.28211,856.0604,125.00363,4.21389,0.01681,0.33325,0.00496
2025-05-2900:00:18,278.43084,397.1179,550.34122,207.21964,125.32633,4.36403,0.01914,0.15408,0.00599
2025-05-2900:00:18,288.87524,408.95251,564.70658,174.00461,117.00522,4.13484,0.02169,0.1245,0.00624
2025-05-2900:00:18,304.21911,425.7511,589.00309,151.65609,109.19147,3.85252,0.02341,0.08919,0.00639
2025-05-2900:00:18,316.28849,437.45333,622.30344,139.41402,101.8839,3.5081,0.02453,0.057,0.00648
2025-05-2900:00:18,334.17518,455.08045,670.28319,121.17492,96.04876,3.13472,0.02523,0.0316,0.0065
2025-05-2900:00:18,355.1032,478.35634,735.96943,104.21596,90.61522,2.75195,0.0256,0.00978,0.00646
2025-05-2900:00:19,371.39945,498.41489,826.32988,96.27714,85.49361,2.37595,0.02569,0.00226,0.00643
2025-05-2900:00:19,391.45566,525.28286,170.93171,91.00006,82.79794,2.04625,0.02567,-0.19337,0.00632
2025-05-2900:00:19,407.08784,559.75032,126.06929,86.25296,80.33912,1.19112,0.02465,-0.23117,0.0053
2025-05-2900:00:19,427.03412,602.12717,105.40871,77.82907,73.04236,0.36228,0.02232,-0.26589,0.0044
2025-05-2900:00:19,448.45394,647.9764,103.70697,78.68545,76.26035,-0.44268,0.01948,-0.28997,0.00381
2025-05-2900:00:19,461.66613,696.58003,105.61936,82.8043,83.48979,-1.1665,0.01715,-0.29201,0.00348
2025-05-2900:00:19,476.47324,750.24541,101.82751,80.82193,93.87412,-1.79526,0.01533,-0.28649,0.00306
2025-05-2900:00:19,491.40872,806.66796,99.36176,88.3883,106.26895,-2.29126,0.01342,-0.25843,0.00252
2025-05-2900:00:19,504.59246,861.5344,107.12922,98.27577,117.23675,-2.63152,0.0114,-0.22095,0.00201
2025-05-2900:00:19,516.6452,914.19869,115.02068,99.545,126.29343,-2.81909,0.00938,-0.18058,0.00152
2025-05-2900:00:19,528.42825,964.51593,123.00172,109.50559,142.46957,-2.86354,0.00745,-0.14531,0.00113
2025-05-2900:00:19,535.84303,1003.74566,132.03889,120.56463,160.25437,-2.84018,0.00581,-0.13608,0.00086
2025-05-2900:00:19,542.95565,1038.8947,140.1066,130.46376,176.34908,-2.79536,0.0045,-0.12771,0.00066
2025-05-2900:00:19,548.65137,1067.88169,141.17909,141.42226,193.90163,-2.7368,0.00346,-0.12063,0.00049
2025-05-2900:00:19,551.76081,1088.54593,149.26028,151.17415,209.57461,-2.66606,0.00264,-0.11234,0.00038
2025-05-2900:00:19,555.25817,1107.12532,157.33952,160.84806,225.00318,-2.58263,0.00202,-0.10372,0.0003
2025-05-2900:00:19,556.62323,1119.19485,164.41248,169.31377,238.52287,-2.48747,0.00158,-0.09521,0.00025
2025-05-2900:00:19,558.85444,1131.37629,171.48164,177.72995,251.88156,-2.38217,0.00129,-0.08642,0.00024
2025-05-2900:00:20,559.37314,1139.11529,178.54944,180.7608,265.17038,-2.26824,0.00112,-0.07827,0.00024
2025-05-2900:00:20,561.1398,1148.94963,185.61869,185.3109,278.47373,-2.1493,0.00105,-0.06974,0.00026
2025-05-2900:00:20,561.50476,1156.01841,191.6897,192.56741,290.15733,-2.02344,0.00108,-0.0608,0.00031
2025-05-2900:00:20,563.44828,1167.03685,197.77076,199.88427,302.06896,-1.89108,0.0012,-0.05163,0.00038
2025-05-2900:00:20,564.30131,1177.10559,202.86387,206.14062,312.59328,-1.75296,0.00141,-0.04268,0.00046
2025-05-2900:00:20,567.04752,1193.04717,207.97973,212.52727,323.61217,-1.61012,0.0017,-0.03355,0.00056
2025-05-2900:00:20,568.98743,1209.90779,213.12712,219.08653,335.29003,-1.46276,0.00205,-0.02425,0.00068
2025-05-2900:00:20,573.14019,1234.89051,217.31076,224.69447,346.00851,-1.31179,0.00248,-0.01518,0.00082
2025-05-2900:00:20,576.79044,1263.20671,220.54148,229.3866,355.9166,-1.15766,0.00297,-0.00669,0.00096
2025-05-2900:00:20,583.0132,1302.78124,223.83937,234.37692,367.00525,-1.00524,0.00351,-0.00052,0.00111
2025-05-2900:00:20,590.53272,1352.46508,219.14266,239.71584,379.5017,-0.85907,0.00408,0.00428,0.00127
2025-05-2900:00:20,598.03472,1411.35715,221.60252,244.25908,391.75529,-0.71976,0.00469,0.00854,0.00143
2025-05-2900:00:20,608.75718,1490.06544,224.18375,249.25052,405.92855,-0.59076,0.00532,0.01088,0.00159
2025-05-2900:00:20,621.42186,1589.91399,226.91005,254.7463,422.35087,-0.47851,0.00591,0.00821,0.00168
2025-05-2900:00:20,634.30886,345.23878,228.76533,259.4751,438.95203,-0.51425,0.00629,-0.06693,0.00169
2025-05-2900:00:20,650.41788,329.4069,223.57924,265.86688,459.83826,-0.63279,0.00654,-0.07694,0.00172
2025-05-2900:00:20,666.47112,313.794,226.70794,272.6872,483.13432,-0.76003,0.00672,-0.08459,0.00173
2025-05-2900:00:20,685.83776,306.52709,229.98327,279.9345,509.04868,-0.88553,0.00683,-0.08963,0.00174
2025-05-2900:00:21,705.07809,292.3481,234.44692,288.93661,540.30899,-1.00814,0.00687,-0.09355,0.00172
2025-05-2900:00:21,725.85508,286.45053,239.06482,298.39574,574.89153,-1.11826,0.00685,-0.09444,0.00169
2025-05-2900:00:21,748.12441,289.76663,244.88633,309.67898,615.82522,-1.2133,0.00678,-0.09272,0.00166
2025-05-2900:00:21,771.89579,284.15875,249.80357,320.04444,658.15089,-1.2903,0.00668,-0.09162,0.00162
2025-05-2900:00:21,795.14642,287.71553,255.93228,332.28734,708.0346,-1.35767,0.00656,-0.09485,0.00159
2025-05-2900:00:21,822.04421,283.36966,262.21929,345.04776,763.47471,-1.42612,0.00645,-0.09918,0.00157
2025-05-2900:00:21,848.57098,287.14648,266.86455,358.36112,825.46061,-1.49508,0.00635,-0.10341,0.00155
2025-05-2900:00:21,876.95314,291.02499,266.51507,372.25883,895.17647,-1.56726,0.00624,-0.10886,0.00151
2025-05-2900:00:21,907.30266,296.00431,274.33195,388.32204,1452.48409,-1.644,0.00613,-0.17816,0.0013
2025-05-2900:00:21,937.77412,301.07699,282.20246,404.60507,1439.99442,-1.89115,0.00553,-0.1736,0.00111
2025-05-2900:00:21,963.9617,298.21405,290.0024,420.66991,1429.68921,-2.08659,0.00486,-0.16561,0.00093
2025-05-2900:00:21,987.28956,304.39731,298.7982,437.93962,1420.41318,-2.22801,0.00417,-0.15363,0.00076
